T,C,A,R,D
hen,hen,chicken,yen,none
hat,hat,cap,fat,none
pet,pet,love,set,none
map,map,cartography,lap,none
control,control,power,enroll,none
pain,pain,agony,vein,none
cushion,cushion,comfort,fashion,none
monkey,monkey,ape,honky,none
vegetable,vegetable,fruit,tolerable,none
day,day,sunlight,ray,none
curtain,curtain,drape,stain,none
kitten,kitten,adorable,written,none
copper,copper,bronze,proper,none
basin,basin,bowl,satin,none
ball,ball,sphere,mall,none
net,net,web,debt,none
card,card,play,yard,none
cake,cake,dessert,lake,none
stop,stop,halt,mop,none
guitar,guitar,banjo,avatar,none
value,value,worth,rescue,none
star,star,shine,tsar,none
list,list,catalog,mist,none
arm,arm,leg,swarm,none
none,none,none,none,abrupt
none,none,none,none,bloom
none,none,none,none,braid
none,none,none,none,cactus
none,none,none,none,caterpillar
none,none,none,none,daisy
none,none,none,none,ditch
none,none,none,none,dove
